RATING,AVGNUMBEROFREVIEWS
0,0.000000
1,0.554217
1.5,2.666667
1.6,1.000000
1.7,8.000000
1.8,0.750000
1.9,2.500000
2,1.653061
2.1,3.333333
2.2,37.800000
2.3,2.125000
2.4,10.000000
2.5,2.590909
2.6,1.750000
2.7,1.809524
2.8,21.187500
2.9,9.970588
3,2.345946
3.1,32.833333
3.2,10.983871
3.3,116.252252
3.4,83.900763
3.5,77.306620
3.6,192.308357
3.7,206.338843
3.8,408.226779
3.9,352.194805
4,526.762940
4.1,690.428921
4.2,826.756667
4.3,953.815787
4.4,1041.621870
4.5,993.300264
4.6,1059.320407
4.7,1027.773904
4.8,900.489088
4.9,586.514569
5,4.437785
