CategoryName,AVGRATING,AVGNUMBEROFREVIEWS
Law,4.020907102,0.000000
Engineering & Transportation,4.155014606,0.000000
Computers & Technology,4.227434593,201.749273
Travel,4.26757148,455.868621
Foreign Language,4.28083508,1307.062369
Medical,4.311924119,0.000000
Reference,4.330371901,0.000000
Education & Teaching,4.356859206,226.526474
"Cookbooks, Food & Wine",4.388243015,85.297206
Humor & Entertainment,4.403345543,0.000000
Arts & Photo graphy,4.413974776,454.453011
LGBTQ+ eBooks,4.425122349,866.097154
"Mystery, Thriller & Suspense",4.427678571,5.530931
Sports & Outdoors,4.434684966,0.000000
History,4.435158924,1131.547677
Biographies & Memoirs,4.441887142,2145.455874
Politics & Social Sciences,4.446327549,1216.501307
Business & Money,4.448273186,0.000000
Science & Math,4.451116709,0.000000
"Crafts, Hobbies & Home",4.45216285,20.412395
Parenting & Relationships,4.454211151,38.804440
Literature & Fiction,4.470640655,9189.571291
Romance,4.474525745,0.000000
"Health, Fitness & Dieting",4.512365931,0.000000
Teen & Young Adult,4.525060997,3004.275532
Self-Help,4.528571429,730.253364
Science Fiction & Fantasy,4.535219024,2709.807760
Nonfiction,4.558731924,2209.286986
Comics,4.579288703,978.213389
Religion & Spirituality,4.625633803,1564.542052
Children's eBooks,4.632608317,0.000000
