YEAR,AVGRATING
2024,4.4
2023,3.99896815
2022,4.368055162
2021,4.474911747
2020,4.496490281
2019,4.497579051
2018,4.495602114
2017,4.489726188
2016,4.48313413
2015,4.465571812
2014,4.456932515
2013,4.464342821
2012,4.477087098
2011,4.462793427
2010,4.489956803
2009,4.479935966
2008,4.474654378
2007,4.48561565
2006,4.495610687
2005,4.495873786
2004,4.50027027
2003,4.492789969
2002,4.468214286
2001,4.516216216
2000,4.509937888
1999,4.494074074
1998,4.551754386
1997,4.571052632
1996,4.514754098
1995,4.603846154
1994,4.54
1993,4.564583333
1992,4.587804878
1991,4.604
1990,4.52972973
1989,4.573333333
1988,4.558823529
1987,4.486956522
1986,4.614285714
1985,4.6
1984,4.588888889
1983,4.564285714
1982,4.55
1981,4.625
1980,4.628571429
1979,4.5
1978,4.65
1977,4.533333333
1976,4.6
1975,4.766666667
1974,4.5625
1973,4.5
1972,4.525
1971,4.716666667
1970,4.675
1969,4.5
1968,4.6
1967,4.6
1965,4.7
1964,4.525
1963,4.8
1962,4.7
1961,4.85
1960,4.76
1959,4.7
1958,4.675
1957,4.8
1955,4.65
1954,4.7
1953,4.6
1950,4.7
1948,4.6
1944,4.7
1943,4.666666667
1942,4.7
1941,4.733333333
1940,4.7
1938,4.6
1937,4.65
1936,4.766666667
1935,4.6
1934,4.7
1933,4.6
1932,4.7
1931,4.7
1930,4.64
1929,4.7
1928,4.55
1900,4.75
1806,4.8
